185.144.40.0/22 #AS47701 BAU-AS BEIRUT ARAB UNIVERSITY(BAU), LB
149.76.0.0/19 #AS46356 SBUEDU Saint Bonaventure University, US
192.52.219.0/24 #AS46356 SBUEDU Saint Bonaventure University, US
164.41.0.0/16 #AS21506 FUNDACAO-UNIVERSIDADE-BRASILIA Fundação Universidade de Brasília, BR
59.27.163.0/24 #AS23552 KORNU-AS Korea Nazarene University, KR
59.27.164.0/22 #AS23552 KORNU-AS Korea Nazarene University, KR
59.27.168.0/24 #AS23552 KORNU-AS Korea Nazarene University, KR
116.68.32.0/19 #AS23552 KORNU-AS Korea Nazarene University, KR
210.107.246.0/23 #AS23552 KORNU-AS Korea Nazarene University, KR
210.125.12.0/23 #AS23552 KORNU-AS Korea Nazarene University, KR
210.125.14.0/24 #AS23552 KORNU-AS Korea Nazarene University, KR
211.229.160.0/22 #AS23552 KORNU-AS Korea Nazarene University, KR
220.123.80.0/22 #AS23552 KORNU-AS Korea Nazarene University, KR
198.190.245.0/24 #AS40615 BCHD-AS-1 University Health System, US
208.89.16.0/22 #AS40615 BCHD-AS-1 University Health System, US
23.139.60.0/23 #AS401731 ROLL-TIDE The University of Alabama Athletics, US
64.32.50.0/24 #AS401731 ROLL-TIDE The University of Alabama Athletics, US
68.70.126.0/24 #AS395428 ELMHURST-AS Elmhurst University, US
189.50.208.0/23 #AS269972 UNIVERSIDAD-QUINDIO UNIVERSIDAD DEL QUINDÍO, CO
173.244.0.0/19 #AS54616 SSU-173244000000-19 Salem State University, US
78.24.112.0/21 #AS44971 GOETEC-AS University of Kent, GB
192.153.127.0/24 #AS8256 LODMAN-AS Lodz University of Technology, PL
212.51.192.0/21 #AS8256 LODMAN-AS Lodz University of Technology, PL
212.51.204.0/24 #AS8256 LODMAN-AS Lodz University of Technology, PL
212.51.207.0/24 #AS8256 LODMAN-AS Lodz University of Technology, PL
212.51.208.0/20 #AS8256 LODMAN-AS Lodz University of Technology, PL
212.191.0.0/17 #AS8256 LODMAN-AS Lodz University of Technology, PL
85.143.20.0/22 #AS8941 MRSU-AS N. P. Ogarev's Mordovian State University, RU
194.54.64.0/22 #AS8941 MRSU-AS N. P. Ogarev's Mordovian State University, RU
156.62.0.0/16 #AS24398 AUT-NZ-AP Auckland University of Technology, NZ
141.117.0.0/16 #AS26996 RYERSON-UNIVERSITY Toronto Metropolitan University, CA
131.113.0.0/16 #AS38635 KEIO-NET Keio University, JP
133.27.0.0/16 #AS38635 KEIO-NET Keio University, JP
198.17.145.0/24 #AS14128 NU-EDU National University, US
