100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
103.202.52.0/22 #AS931 HYONIX - Hyonix, SG
103.203.204.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.203.220.0/22 #AS13150 CATON, IL
103.203.68.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.206.156.0/23 #AS16276 OVH, FR
103.206.252.0/22 #AS9422 SOLNET-ID PT SOLNET INDONESIA, ID
103.207.128.0/24 #AS4758 NICNET-VSNL-BOARDER-AP National Informatics Centre, IN
103.207.156.0/23 #AS5580 GTT-ASIA, NL
103.209.78.0/24 #AS9009 M247, RO
103.210.14.0/23 #AS9009 M247, RO
103.211.120.0/22 #AS9245 COMPASS-NZ-AP COMPASS, NZ
103.211.4.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.21.216.0/22 #AS9905 LINKNET-ID-AP Linknet ASN, ID
103.21.236.0/22 #AS12886 LEWTELNET Oskar-von-Miller-Str. 1b, DE
103.215.12.0/24 #AS9479 OTG-AU Operations & Technology Group, AU
103.215.155.0/24 #AS2923 AS-TIAA-NET - TIAA-CREF, US
103.21.60.0/22 #AS3462 HINET Data Communication Business Group, TW
103.216.0.0/22 #AS9009 M247, RO
103.216.198.0/24 #AS9009 M247, RO
103.216.230.0/24 #AS9009 M247, RO
103.218.96.0/22 #AS15830 EQUINIX, NL
103.219.252.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.221.94.0/24 #AS13444 TRS-GL-01 - TRS, US
103.22.232.0/23 #AS7717 OPENIXP-AS-ID-AP OpenIXP ASN, ID
103.224.120.0/22 #AS15695 EXPEREO, NL
103.225.44.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.227.188.0/22 #AS15830 EQUINIX, NL
103.228.136.0/22 #AS4611 XINHUANET CNNIC member, CN
103.229.116.0/24 #AS9009 M247, RO
103.229.36.0/23 #AS16347 INHERENT, FR
103.230.248.0/22 #AS5580 GTT-ASIA, NL
103.230.59.0/24 #AS9286 KINXIDC-AS-KR KINX, KR
103.232.172.0/22 #AS16347 INHERENT, FR
103.232.34.0/23 #AS5580 GTT-ASIA, NL
