STATISTICS OF INTERNET HONEYPOT - LAST 14 DAYS

UNIQUE SOURCE IP ACTIVITY

Total requests:          612777
Unique source IPs:       37494
Average requests per IP: 16.34


TOP 150 PORTS REQUESTED - TCP, UDP, ICMP 0

PORT  REQUEST %   REQUESTS   UNIQUE IP#  IP + ASN REPORT LINK
New IP: 1496 (IP count related to a predictive blocklist /24 CIDR: 598)

HONEYPOT STATS, LAST 14 DAYS
Repeating Honeypot IP: 25794
New IP: 22804 (IP count related to a predictive blocklist /24 CIDR: 14463)

HONEYPOT STATS, % NEW AND REPEATING IP OVER TIME
This is a measurement of what activity level is found across the dataset over time as the honeypot dataset grows.
We measure this by the last time a /24 CIDR within the honeypot dataset was updated with a new unique IP or repeat vistors matched the /24 CIDR.

NEW IP % ADDED TO HONEYPOT:
<= 24 hrs: 0.675%
25-48 hrs: 0.595%
Day 2-3: 0.554%
Day 3-4: 0.460%
Day 4-5: 0.524%
Day 5-6: 0.642%
Day 6-7: 0.536%
Day 7-8: 0.536%
8-14 days: 3.481%
15-30 days: 8.451%
31-60 days: 12.266%
61-90 days: 9.330%
91 days and older: 61.940%

REPEATING IP % AGAINST HONEYPOT:
<= 24 hrs: 5.384%
25-48 hrs: 2.998%
Day 2-3: 2.285%
Day 3-4: 1.863%
Day 4-5: 1.782%
Day 5-6: 1.612%
Day 6-7: 1.381%
Day 7-8: 1.313%
8-14 days: 6.968%
15-30 days: 17.808%
31-60 days: 18.752%
61-90 days: 15.864%
91 days and older: 22.021%


NEW IPs
   24 HRS   14 DAYS  CATEGORY
------------------------------------------------
  41.667%   55.574%  isp
  46.159%   27.503%  hosting
  12.391%   17.430%  business
   1.304%    0.577%  business_subcat_net_or_isp
   0.435%    0.229%  education_research
   0.217%    0.141%  education_research_subcat_institute
   0.000%    0.119%  business_subcat_fin
   0.290%    0.093%  government_admin
   0.072%    0.048%  education_research_subcat_university
   0.072%    0.022%  uncategorized
   0.000%    0.009%  government_admin_subcat_infra
   0.000%    0.004%  government_admin_subcat_mil
   0.000%    0.000%  education_research_subcat_science


REPEATING IPs
   24 HRS   14 DAYS  CATEGORY
------------------------------------------------
  72.652%   47.824%  hosting
   9.433%   32.724%  isp
  17.851%   19.363%  business
   1.375%    1.022%  business_subcat_net_or_isp
   1.163%    0.937%  education_research
   0.931%    0.801%  education_research_subcat_institute
   0.085%    0.066%  education_research_subcat_university
   0.021%    0.054%  business_subcat_fin
   0.021%    0.023%  government_admin
   0.021%    0.008%  uncategorized
   0.000%    0.000%  education_research_subcat_science
   0.000%    0.000%  government_admin_subcat_infra
   0.000%    0.000%  government_admin_subcat_mil


ALL DATASET IPs  
------------------------------------------------
  44.387%  hosting
  44.253%  isp
  10.955%  business
   1.040%  business_subcat_net_or_isp
   0.771%  government_admin
   0.734%  education_research
   0.583%  government_admin_subcat_mil
   0.315%  education_research_subcat_institute
   0.260%  education_research_subcat_university
   0.047%  business_subcat_fin
   0.031%  uncategorized
   0.008%  education_research_subcat_science
   0.007%  government_admin_subcat_infra

See AS category files here https://github.com/sky-poppy/fwfeed/tree/main/ASN_CAT_EXPORTS


ASN ABUSE FOUND VS HONEYPOT DATASET
5+ IP PER /24 CIDR EXPORT LINK: https://github.com/sky-poppy/fwfeed/blob/main/abuse_asn_log_cidr_5plus_ip.txt
ASN ABUSE TOP 10
HONEYPOT IP:20646    AS14061    access_provider hosting         US    DigitalOcean LLC
HONEYPOT IP:17833    AS53107    midsize_transit hosting         BR    EVEO S.A.
HONEYPOT IP:12488    AS4134     major_transit   isp             CN    China Telecom
HONEYPOT IP:11439    AS396982   stub            hosting         US    Google LLC
HONEYPOT IP:9993     AS8075     access_provider hosting         US    Microsoft Corporation
HONEYPOT IP:8689     AS4837     major_transit   isp             CN    CHINA UNICOM China169 Backbone
HONEYPOT IP:7940     AS16276    major_transit   hosting         FR    OVH SAS
HONEYPOT IP:5074     AS16509    major_transit   hosting         US    Amazon.com Inc.
HONEYPOT IP:4797     AS45102    access_provider hosting         US    Alibaba (China) Technology Co. Ltd.
HONEYPOT IP:4474     AS17222    major_transit   isp             BR    MUNDIVOX DO BRASIL LTDA


HONEYPOT PREDICTIVE CIDR LISTS
This is where a higher frequency of bad actor IPs show up in a IP CIDR range 255.255.255.0 /24.
You might choose to use a more aggressive firewall policy using predictive blocklists.

100 OR MORE IPs EXIST PER /24 CIDR: 85
LIST RATED: CONSERVATIVE
Preventitive qty of new bad actor IPs matching this predictive IP abuse list:
Last 24 hrs 12
Last 14 days 9895

50 OR MORE IPs EXIST PER /24 CIDR: 150
LIST RATED: TOLERANT
Preventitive qty of new bad actor IPs matching this predictive IP abuse list:
Last 24 hrs 26
Last 14 days 180

25 OR MORE IPs EXIST PER /24 CIDR: 315
LIST RATED: AGGRESSIVE
Preventitive qty of new bad actor IPs matching this predictive IP abuse list:
Last 24 hrs 20
Last 14 days 271

5 OR MORE IPs EXIST PER /24 CIDR: 1619
LIST RATED: EXTREMELY AGGRESSIVE
Preventitive qty of new bad actor IPs matching this predictive IP abuse list:
Last 24 hrs 110
Last 14 days 1164


HOSTED VPS IP COUNT, WHITELIST YOUR OWN VPS SERVICE IF ONE USED
LIST RATED: AGGRESSIVE
Bad actors using hosted compute services, Azure, AWS, others.
Preventitive qty of new bad actor IPs matching this list:
Last 24 hrs 421
Last 14 days 2879


HOSTED VPN IP COUNT, WHITELIST YOUR OWN VPN SERVICE PROVIDER IF ONE USED
LIST RATED: AGGRESSIVE
Bad actors using a VPN service.
Preventitive qty of new bad actor IPs matching this list:
Last 24 hrs 10
Last 14 days 85


HONEYPOT DATASET LAST 90 DAYS ACTIVE IPs - OVERLAP COUNT FOR EXTERNAL BLOCKLISTS
