185.58.16.0/22 #AS206723 CARNSOREBROADBAND, IE
185.58.16.0/22 #AS60110 MODELTELECOM, IE
185.58.232.0/22 #AS42090 RAPIDBB, IE
185.60.124.0/22 #AS13280 H3G, IE
185.61.0.0/22 #AS5466 EIRCOM Internet House, IE
185.61.60.0/22 #AS61194 CTIGLOBAL-IE CTI Global, IE
185.6.36.0/22 #AS2128 INEX Internet Neutral Exchange Association Company Limited By Guarantee, IE
185.6.39.0/24 #AS42953 INEX-CORK, IE
185.64.16.0/22 #AS201607 CELTIC-AS, IE
185.67.20.0/23 #AS206663 MTS-MEDIA, IE
185.69.212.0/22 #AS29644 AIRSPEED-AS, IE
185.7.184.0/22 #AS199588 DHDA, IE
185.75.144.0/22 #AS200562 WELLTEL-IE Welltel Ireland Limited, IE
185.76.224.0/22 #AS49567 APTUS-AS, IE
185.8.112.0/22 #AS61145 REALBROADBANDCOM, IE
185.8.192.0/22 #AS15502 VODAFONE-IRELAND-ASN, IE
185.82.240.0/22 #AS201111 AS_FINTRAX, IE
185.82.44.0/22 #AS200947 IE-ROYALDUBLINSOCIETY-20141223, IE
185.83.233.0/24 #AS205967 TTS-IE-AS, IE
185.84.253.0/24 #AS200500 VESTA-DUB, IE
185.84.254.0/23 #AS200500 VESTA-DUB, IE
185.84.8.0/22 #AS44212 ADELPHINET1-AS, IE
185.86.184.0/22 #AS48305 NORAINA-EU, IE
185.87.180.0/22 #AS204536 TSFY, IE
185.89.72.0/22 #AS201000 WHIZZY-FTTX, IE
185.92.128.0/22 #AS60924 ORIXCOM, IE
185.94.200.0/22 #AS49221 ATLANTEK, IE
185.94.44.0/23 #AS39122 BLACKNIGHT-AS, IE
185.94.46.0/23 #AS206663 MTS-MEDIA, IE
185.95.40.0/22 #AS200824 SUSQ-IRE, IE
185.97.236.0/22 #AS215733 BKBB, IE
185.99.109.0/24 #AS202899 GW-POL, IE
185.99.136.0/22 #AS200565 IVERTEC, IE
188.244.113.0/24 #AS211439 LOCOTORPI, IE
188.93.0.0/21 #AS42227 AIRWIRE-AS Airwire, IE
189.13.5.0/24 #AS199030 ALEX, IE
189.13.6.0/24 #AS199030 ALEX, IE
18.96.8.0/21 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
18.99.112.0/20 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
18.99.240.0/20 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
191.101.143.0/24 #AS211439 LOCOTORPI, IE
191.101.248.0/24 #AS211439 LOCOTORPI, IE
191.96.2.0/24 #AS211439 LOCOTORPI, IE
192.107.110.0/24 #AS5466 EIRCOM Internet House, IE
192.111.39.0/24 #AS2110 AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE
192.16.78.0/23 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
192.175.48.1/32 #AS197822 VMW-ROM01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS197853 IRISHTELCOM, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198528 OGN-RU, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198553 VMW-DXB01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198555 VMW-SVQ01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198625 VMW-EVN01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198699 GNI, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198836 SMARTBOXEXPERIENCE, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198993 WD-AMS, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199323 VMW-BCN01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199368 VMW-MAD01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS199687 IN2TEL-DB3, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS201614 IIU-AS, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS201918 VMOTION, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS203060 CIMPRESS, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS207127 IE-HSL-01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS207885 MALISSA, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS208539 VMW-TLV01, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS209504 REDTEC-TC-3, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS209539 REDTEC-TC-1, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS211086 VMW-LIN02, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS211200 APTRIVA, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS211469 BMCSAAS-ZWL, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS213040 KEYBUS-LTD, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS214355 MMSOFT-ASN, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS214860 DUNNESSTORES-ASN, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS215477 WESTERNUNION-FRA-DE, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS216133 CLOUDCN, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
