181.177.220.0/22 #AS269993 COMPANIA CHILENA DE COMUNICACIONES PARALLEL S.A., CL
181.189.20.0/22 #AS272031 NETENMICASA SpA, CL
181.190.0.0/16 #AS14259 Gtd Internet S.A., CL
181.212.0.0/16 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
181.212.60.0/24 #AS19196 TELEFONICA MOVIL DE CHILE S.A., CL
181.224.64.0/22 #AS272025 NETV SPA, CL
181.225.112.0/20 #AS52489 TELEFONICA CHILE S.A., CL
181.225.140.0/22 #AS262213 Comsat Limitada, CL
181.225.144.0/21 #AS262213 Comsat Limitada, CL
181.226.0.0/16 #AS14117 Telefonica del Sur S.A., CL
181.232.148.0/22 #AS271997 BIOCABLE SUR E I R L, CL
181.42.0.0/15 #AS27651 ENTEL CHILE S.A., CL
181.42.4.0/23 #AS27986 ENTEL CHILE S.A., CL
181.72.0.0/14 #AS6535 Telmex Servicios Empresariales S.A., CL
185.28.51.0/24 #AS274212 Telacable SPA, CL
185.83.200.0/23 #AS274024 COOPERATIVA DE SERVICIOS DE TELECOMUNICACIONES Y TECNOLOGIA LIMITADA, CL
185.9.3.0/24 #AS263702 GRUPO ZGH SPA, CL
186.0.216.0/24 #AS27735 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA, CL
186.10.0.0/17 #AS27651 ENTEL CHILE S.A., CL
186.10.128.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.136.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.137.0/24 #AS27986 ENTEL CHILE S.A., CL
186.10.138.0/24 #AS27986 ENTEL CHILE S.A., CL
186.10.139.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.140.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.144.0/20 #AS27651 ENTEL CHILE S.A., CL
186.10.160.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.165.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.166.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.168.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.176.0/20 #AS27651 ENTEL CHILE S.A., CL
186.10.192.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.200.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.202.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.204.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.208.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.216.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.219.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.221.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.222.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.224.0/19 #AS27651 ENTEL CHILE S.A., CL
186.103.128.0/17 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
186.103.155.0/24 #AS7004 TELEFONICA CHILE S.A., CL
186.103.156.0/22 #AS7004 TELEFONICA CHILE S.A., CL
186.103.240.0/20 #AS7004 TELEFONICA CHILE S.A., CL
186.104.0.0/14 #AS7418 TELEFONICA CHILE S.A., CL
186.11.0.0/17 #AS27651 ENTEL CHILE S.A., CL
186.11.128.0/17 #AS27925 Entel PCS Telecomunicaciones S.A., CL
186.148.0.0/18 #AS7004 TELEFONICA CHILE S.A., CL
186.148.208.0/22 #AS262167 Redcol S.A., CL
186.148.3.0/24 #AS52396 TELEFONICA CHILE S.A. MAYORISTAS, CL
186.156.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
186.172.0.0/14 #AS6535 Telmex Servicios Empresariales S.A., CL
186.179.80.0/20 #AS15311 TELEFONICA EMPRESAS CHILE SA, CL
186.189.69.0/24 #AS52341 WOM S.A., CL
186.189.70.0/23 #AS52341 WOM S.A., CL
186.189.72.0/21 #AS52341 WOM S.A., CL
186.189.80.0/20 #AS52341 WOM S.A., CL
186.189.96.0/19 #AS52341 WOM S.A., CL
186.190.236.0/22 #AS52313 Luz Linares S.A., CL
186.20.0.0/15 #AS6535 Telmex Servicios Empresariales S.A., CL
186.20.168.0/21 #AS6429 Telmex Chile Internet S.A., CL
186.20.176.0/20 #AS6429 Telmex Chile Internet S.A., CL
186.20.192.0/21 #AS6429 Telmex Chile Internet S.A., CL
186.20.76.0/22 #AS6429 Telmex Chile Internet S.A., CL
186.20.80.0/21 #AS6429 Telmex Chile Internet S.A., CL
186.20.88.0/22 #AS6429 Telmex Chile Internet S.A., CL
186.209.208.0/22 #AS271778 INVERSIONES EN TECNOLOGIA PULSO SPA, CL
186.20.96.0/20 #AS6429 Telmex Chile Internet S.A., CL
186.34.0.0/15 #AS6535 Telmex Servicios Empresariales S.A., CL
186.36.0.0/16 #AS6535 Telmex Servicios Empresariales S.A., CL
186.37.0.0/16 #AS27925 Entel PCS Telecomunicaciones S.A., CL
186.40.0.0/16 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
186.40.0.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.40.128.0/17 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
