192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.11.122.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.148.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.170.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.172.0/23 #AS3741 NTT-DATA-Inc, ZA
196.11.174.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.188.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.205.0/24 #AS3741 NTT-DATA-Inc, ZA
196.11.209.0/24 #AS3741 NTT-DATA-Inc, ZA
196.12.16.0/20 #AS3741 NTT-DATA-Inc, ZA
196.13.35.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.73.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.74.0/23 #AS3741 NTT-DATA-Inc, ZA
196.13.76.0/22 #AS3741 NTT-DATA-Inc, ZA
196.13.80.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.93.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.97.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.132.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.163.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.164.0/23 #AS3741 NTT-DATA-Inc, ZA
196.13.213.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.214.0/23 #AS3741 NTT-DATA-Inc, ZA
196.13.216.0/23 #AS3741 NTT-DATA-Inc, ZA
196.13.225.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.226.0/23 #AS3741 NTT-DATA-Inc, ZA
196.13.232.0/24 #AS3741 NTT-DATA-Inc, ZA
196.13.251.0/24 #AS3741 NTT-DATA-Inc, ZA
196.14.0.0/16 #AS3741 NTT-DATA-Inc, ZA
196.15.152.0/24 #AS3741 NTT-DATA-Inc, ZA
196.22.0.0/22 #AS3741 NTT-DATA-Inc, ZA
196.22.32.0/20 #AS3741 NTT-DATA-Inc, ZA
196.23.0.0/16 #AS3741 NTT-DATA-Inc, ZA
196.26.0.0/16 #AS3741 NTT-DATA-Inc, ZA
196.28.69.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.95.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.136.0/22 #AS3741 NTT-DATA-Inc, ZA
196.28.148.0/22 #AS3741 NTT-DATA-Inc, ZA
196.28.152.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.155.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.158.0/23 #AS3741 NTT-DATA-Inc, ZA
196.28.160.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.162.0/23 #AS3741 NTT-DATA-Inc, ZA
196.28.165.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.169.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.174.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.182.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.189.0/24 #AS3741 NTT-DATA-Inc, ZA
196.28.191.0/24 #AS3741 NTT-DATA-Inc, ZA
196.33.0.0/16 #AS3741 NTT-DATA-Inc, ZA
196.34.0.0/15 #AS3741 NTT-DATA-Inc, ZA
196.36.0.0/14 #AS3741 NTT-DATA-Inc, ZA
196.41.128.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.130.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.132.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.137.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.139.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.142.0/24 #AS3741 NTT-DATA-Inc, ZA
196.41.150.0/24 #AS3741 NTT-DATA-Inc, ZA
196.45.96.0/20 #AS3741 NTT-DATA-Inc, ZA
196.208.0.0/13 #AS3741 NTT-DATA-Inc, ZA
197.80.68.0/24 #AS3741 NTT-DATA-Inc, ZA
197.80.100.0/24 #AS3741 NTT-DATA-Inc, ZA
197.80.140.0/24 #AS3741 NTT-DATA-Inc, ZA
197.80.142.0/24 #AS3741 NTT-DATA-Inc, ZA
197.80.160.0/23 #AS3741 NTT-DATA-Inc, ZA
197.80.192.0/19 #AS3741 NTT-DATA-Inc, ZA
197.80.240.0/22 #AS3741 NTT-DATA-Inc, ZA
197.80.248.0/23 #AS3741 NTT-DATA-Inc, ZA
197.84.68.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.75.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.97.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.120.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.140.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.143.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.161.0/24 #AS3741 NTT-DATA-Inc, ZA
197.84.192.0/18 #AS3741 NTT-DATA-Inc, ZA
197.85.7.0/24 #AS3741 NTT-DATA-Inc, ZA
197.85.182.0/23 #AS3741 NTT-DATA-Inc, ZA
197.85.184.0/21 #AS3741 NTT-DATA-Inc, ZA
197.86.0.0/23 #AS3741 NTT-DATA-Inc, ZA
197.86.2.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.4.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.12.0/23 #AS3741 NTT-DATA-Inc, ZA
197.86.15.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.16.0/20 #AS3741 NTT-DATA-Inc, ZA
197.86.34.0/23 #AS3741 NTT-DATA-Inc, ZA
197.86.36.0/22 #AS3741 NTT-DATA-Inc, ZA
197.86.40.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.48.0/24 #AS3741 NTT-DATA-Inc, ZA
