62.132.30.0/23 #AS1136 KPN KPN B.V., NL
62.132.32.0/21 #AS1136 KPN KPN B.V., NL
62.132.40.0/23 #AS1136 KPN KPN B.V., NL
62.132.44.0/22 #AS1136 KPN KPN B.V., NL
62.132.48.0/20 #AS1136 KPN KPN B.V., NL
62.132.64.0/19 #AS1136 KPN KPN B.V., NL
62.132.96.0/20 #AS1136 KPN KPN B.V., NL
62.132.112.0/23 #AS1136 KPN KPN B.V., NL
62.132.118.0/23 #AS1136 KPN KPN B.V., NL
62.132.120.0/21 #AS1136 KPN KPN B.V., NL
62.132.128.0/22 #AS1136 KPN KPN B.V., NL
62.132.134.0/23 #AS1136 KPN KPN B.V., NL
62.132.136.0/21 #AS1136 KPN KPN B.V., NL
62.132.144.0/20 #AS1136 KPN KPN B.V., NL
62.132.160.0/19 #AS1136 KPN KPN B.V., NL
62.132.192.0/18 #AS1136 KPN KPN B.V., NL
62.133.64.0/18 #AS1136 KPN KPN B.V., NL
62.207.0.0/16 #AS1136 KPN KPN B.V., NL
62.216.0.0/19 #AS1136 KPN KPN B.V., NL
62.251.0.0/17 #AS1136 KPN KPN B.V., NL
77.60.0.0/14 #AS1136 KPN KPN B.V., NL
77.160.0.0/12 #AS1136 KPN KPN B.V., NL
80.60.0.0/15 #AS1136 KPN KPN B.V., NL
80.100.0.0/15 #AS1136 KPN KPN B.V., NL
81.204.0.0/14 #AS1136 KPN KPN B.V., NL
82.94.0.0/15 #AS1136 KPN KPN B.V., NL
82.136.192.0/18 #AS1136 KPN KPN B.V., NL
82.161.0.0/16 #AS1136 KPN KPN B.V., NL
82.168.0.0/15 #AS1136 KPN KPN B.V., NL
82.170.0.0/16 #AS1136 KPN KPN B.V., NL
83.232.0.0/16 #AS1136 KPN KPN B.V., NL
84.80.0.0/16 #AS1136 KPN KPN B.V., NL
84.82.0.0/15 #AS1136 KPN KPN B.V., NL
84.84.0.0/14 #AS1136 KPN KPN B.V., NL
85.113.224.0/19 #AS1136 KPN KPN B.V., NL
86.80.0.0/13 #AS1136 KPN KPN B.V., NL
86.88.0.0/15 #AS1136 KPN KPN B.V., NL
86.90.0.0/16 #AS1136 KPN KPN B.V., NL
86.92.0.0/14 #AS1136 KPN KPN B.V., NL
88.159.0.0/16 #AS1136 KPN KPN B.V., NL
89.200.0.0/17 #AS1136 KPN KPN B.V., NL
92.64.0.0/14 #AS1136 KPN KPN B.V., NL
92.68.0.0/15 #AS1136 KPN KPN B.V., NL
92.70.0.0/16 #AS1136 KPN KPN B.V., NL
92.71.192.0/18 #AS1136 KPN KPN B.V., NL
93.154.0.0/17 #AS1136 KPN KPN B.V., NL
137.17.0.0/16 #AS1136 KPN KPN B.V., NL
141.93.240.0/22 #AS1136 KPN KPN B.V., NL
144.44.0.0/16 #AS1136 KPN KPN B.V., NL
145.4.224.0/20 #AS1136 KPN KPN B.V., NL
145.7.0.0/16 #AS1136 KPN KPN B.V., NL
145.8.176.0/22 #AS1136 KPN KPN B.V., NL
145.15.108.0/22 #AS1136 KPN KPN B.V., NL
145.15.114.0/23 #AS1136 KPN KPN B.V., NL
145.15.208.0/21 #AS1136 KPN KPN B.V., NL
145.53.0.0/16 #AS1136 KPN KPN B.V., NL
145.68.0.0/16 #AS1136 KPN KPN B.V., NL
145.119.0.0/16 #AS1136 KPN KPN B.V., NL
146.104.249.0/24 #AS1136 KPN KPN B.V., NL
146.104.252.0/23 #AS1136 KPN KPN B.V., NL
160.48.160.0/23 #AS1136 KPN KPN B.V., NL
185.36.40.0/23 #AS1136 KPN KPN B.V., NL
185.117.209.0/24 #AS1136 KPN KPN B.V., NL
188.142.0.0/17 #AS1136 KPN KPN B.V., NL
188.200.0.0/13 #AS1136 KPN KPN B.V., NL
193.141.4.0/22 #AS1136 KPN KPN B.V., NL
193.141.8.0/21 #AS1136 KPN KPN B.V., NL
193.141.16.0/22 #AS1136 KPN KPN B.V., NL
193.141.21.0/24 #AS1136 KPN KPN B.V., NL
193.141.22.0/24 #AS1136 KPN KPN B.V., NL
193.141.25.0/24 #AS1136 KPN KPN B.V., NL
193.141.26.0/24 #AS1136 KPN KPN B.V., NL
193.141.28.0/22 #AS1136 KPN KPN B.V., NL
193.141.32.0/21 #AS1136 KPN KPN B.V., NL
193.141.46.0/23 #AS1136 KPN KPN B.V., NL
193.141.48.0/22 #AS1136 KPN KPN B.V., NL
193.141.52.0/24 #AS1136 KPN KPN B.V., NL
193.141.54.0/24 #AS1136 KPN KPN B.V., NL
193.141.56.0/24 #AS1136 KPN KPN B.V., NL
193.141.59.0/24 #AS1136 KPN KPN B.V., NL
193.141.62.0/23 #AS1136 KPN KPN B.V., NL
193.141.66.0/24 #AS1136 KPN KPN B.V., NL
193.141.68.0/22 #AS1136 KPN KPN B.V., NL
193.141.72.0/21 #AS1136 KPN KPN B.V., NL
193.141.80.0/21 #AS1136 KPN KPN B.V., NL
193.141.88.0/23 #AS1136 KPN KPN B.V., NL
193.141.90.0/24 #AS1136 KPN KPN B.V., NL
193.141.93.0/24 #AS1136 KPN KPN B.V., NL
193.141.94.0/23 #AS1136 KPN KPN B.V., NL
193.141.100.0/24 #AS1136 KPN KPN B.V., NL
193.141.102.0/23 #AS1136 KPN KPN B.V., NL
193.141.105.0/24 #AS1136 KPN KPN B.V., NL
193.141.106.0/24 #AS1136 KPN KPN B.V., NL
193.141.108.0/24 #AS1136 KPN KPN B.V., NL
193.141.111.0/24 #AS1136 KPN KPN B.V., NL
193.141.112.0/21 #AS1136 KPN KPN B.V., NL
193.141.120.0/24 #AS1136 KPN KPN B.V., NL
193.141.122.0/23 #AS1136 KPN KPN B.V., NL
193.141.124.0/23 #AS1136 KPN KPN B.V., NL
193.141.128.0/21 #AS1136 KPN KPN B.V., NL
193.141.136.0/23 #AS1136 KPN KPN B.V., NL
193.141.138.0/24 #AS1136 KPN KPN B.V., NL
193.141.142.0/24 #AS1136 KPN KPN B.V., NL
193.141.144.0/20 #AS1136 KPN KPN B.V., NL
193.141.160.0/20 #AS1136 KPN KPN B.V., NL
193.141.178.0/23 #AS1136 KPN KPN B.V., NL
193.141.184.0/22 #AS1136 KPN KPN B.V., NL
