87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
83.146.128.0/19 #AS58340 NEVE Napapiirin Kuituverkot Oy, FI
193.177.188.0/22 #AS58340 NEVE Napapiirin Kuituverkot Oy, FI
93.183.19.0/24 #AS39784 NOKIANET-AMSTERDAM Nokia Oyj, FI
189.50.68.0/24 #AS39784 NOKIANET-AMSTERDAM Nokia Oyj, FI
185.255.244.0/22 #AS203602 MFILES-AS M-Files Oy, FI
46.173.224.0/20 #AS39857 TKY-AS Aalto University Student Union, FI
82.130.0.0/18 #AS39857 TKY-AS Aalto University Student Union, FI
81.19.112.0/20 #AS39242 SECLAN Seclan Oy, FI
109.70.160.0/21 #AS39242 SECLAN Seclan Oy, FI
185.159.236.0/24 #AS39242 SECLAN Seclan Oy, FI
77.72.56.0/21 #AS42252 LASIPALATSI-AS Kaapelinetworks Oy, FI
91.194.214.0/23 #AS42252 LASIPALATSI-AS Kaapelinetworks Oy, FI
91.194.240.0/23 #AS42252 LASIPALATSI-AS Kaapelinetworks Oy, FI
37.19.16.0/21 #AS60846 NOKIAN-AS Nokian Renkaat Oyj, FI
185.192.198.0/23 #AS60846 NOKIAN-AS Nokian Renkaat Oyj, FI
195.211.16.0/22 #AS49762 SMN-AS Elisa Santa Monica Oy, FI
131.207.0.0/17 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.0.0/21 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.9.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.10.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.13.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.19.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.20.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.22.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.33.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.36.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.40.0/21 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.48.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.52.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.55.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.56.0/21 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.64.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.68.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.70.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.72.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.78.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.81.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.86.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.88.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.91.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.92.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.96.0/20 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.112.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.117.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
