185.28.120.0/23 #AS60608 OLYMPIC Olympic Entertainment Group AS, EE
194.36.162.0/24 #AS42012 ETV-AS Estonian Public Broadcasting, EE
185.93.7.0/24 #AS211494 NARAYANA Narayana OU, EE
185.235.143.0/24 #AS211494 NARAYANA Narayana OU, EE
195.190.141.0/24 #AS21147 IF-NOC-AS If P&C Insurance AS, EE
85.194.200.0/22 #AS61189 ELKDATA Elkdata OU, EE
185.7.252.0/22 #AS61189 ELKDATA Elkdata OU, EE
45.147.93.0/24 #AS213410 OAKHOST OakHost OU, EE
194.117.94.0/24 #AS213410 OAKHOST OakHost OU, EE
192.144.5.0/24 #AS35713 SERTY-AS Careerum OU, EE
78.24.192.0/21 #AS43682 EE-SEB-AS AS SEB Pank, EE
185.82.154.0/24 #AS198006 BEARMETAL Bear Metal OU, EE
5.44.191.0/24 #AS12757 IPTRON IPTRON.NET OU, EE
176.124.247.0/24 #AS12757 IPTRON IPTRON.NET OU, EE
188.227.248.0/21 #AS12757 IPTRON IPTRON.NET OU, EE
194.0.51.0/24 #AS12757 IPTRON IPTRON.NET OU, EE
91.216.86.0/24 #AS197060 IP-KONEKESKUSTEOU Prominion OU, EE
185.155.252.0/22 #AS197060 IP-KONEKESKUSTEOU Prominion OU, EE
2.27.234.0/24 #AS214693 FUSIORA Fusiora OU, EE
37.202.197.0/24 #AS214693 FUSIORA Fusiora OU, EE
79.175.93.0/24 #AS214693 FUSIORA Fusiora OU, EE
85.239.155.0/24 #AS214693 FUSIORA Fusiora OU, EE
104.234.18.0/24 #AS214693 FUSIORA Fusiora OU, EE
144.31.34.0/24 #AS214693 FUSIORA Fusiora OU, EE
151.242.194.0/24 #AS214693 FUSIORA Fusiora OU, EE
193.202.40.0/24 #AS210302 PIPEDRIVE-M3 Pipedrive OU, EE
91.195.246.0/23 #AS43958 TALLINK-AS AS Tallink Grupp, EE
193.143.8.0/21 #AS43958 TALLINK-AS AS Tallink Grupp, EE
193.143.240.0/21 #AS43958 TALLINK-AS AS Tallink Grupp, EE
91.212.244.0/24 #AS196785 EE-ERGO-AS ERGO Insurance SE, EE
45.144.4.0/23 #AS208338 CYBERNETICA-EE Cybernetica AS, EE
23.133.172.0/24 #AS11967 HOP179 Hop179 OU, EE
44.32.91.0/24 #AS11967 HOP179 Hop179 OU, EE
130.12.194.0/23 #AS11967 HOP179 Hop179 OU, EE
45.14.167.0/24 #AS215955 ALTEASYSTEMS-AS ALTEASYSTEMS OU, EE
82.21.199.0/24 #AS215955 ALTEASYSTEMS-AS ALTEASYSTEMS OU, EE
82.29.110.0/23 #AS215955 ALTEASYSTEMS-AS ALTEASYSTEMS OU, EE
82.39.149.0/24 #AS215955 ALTEASYSTEMS-AS ALTEASYSTEMS OU, EE
45.129.164.0/24 #AS49191 SOFTERIUM-AS Global Software Investment OU, EE
185.190.249.0/24 #AS49191 SOFTERIUM-AS Global Software Investment OU, EE
185.191.16.0/22 #AS196743 INTERFRAME OU Interframe, EE
188.66.0.0/21 #AS196743 INTERFRAME OU Interframe, EE
62.65.192.0/18 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
81.90.112.0/20 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
82.131.0.0/17 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
85.253.0.0/16 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
87.119.160.0/19 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
91.213.43.0/24 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
94.246.216.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
94.246.224.0/19 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
95.129.192.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
109.163.248.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
145.14.16.0/20 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
145.14.32.0/20 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
146.255.176.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
178.23.112.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
178.251.56.0/21 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
185.13.16.0/22 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
185.34.36.0/22 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
185.72.28.0/22 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
194.55.8.0/22 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
194.150.64.0/22 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
194.204.0.0/18 #AS2586 ELISAEE-AS Elisa Eesti AS, EE
185.216.44.0/23 #AS205504 FAL-AS Skylink Networking Ltd, EE
194.1.209.0/24 #AS42472 SMARTEN-AS AS Smarten Logistics, EE
94.154.144.0/22 #AS209842 CYBEXER CybExer Technologies OU, EE
178.236.203.0/24 #AS207872 CTE1 OU CSC Telecom Estonia, EE
185.213.44.0/24 #AS207872 CTE1 OU CSC Telecom Estonia, EE
38.211.99.0/24 #AS214776 TELIQON-AS Teliqon Communications OU, EE
5.253.176.0/22 #AS202759 FAIRYHOSTING RJ Network OU, EE
45.151.72.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
83.172.139.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
89.40.104.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
93.113.98.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
93.113.214.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
95.156.206.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
185.122.185.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
185.155.96.0/22 #AS202759 FAIRYHOSTING RJ Network OU, EE
185.193.49.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
185.215.184.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
185.215.186.0/23 #AS202759 FAIRYHOSTING RJ Network OU, EE
188.190.18.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
188.214.32.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
188.214.36.0/23 #AS202759 FAIRYHOSTING RJ Network OU, EE
213.111.179.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
213.111.181.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
213.111.189.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
213.111.190.0/24 #AS202759 FAIRYHOSTING RJ Network OU, EE
193.138.8.0/24 #AS34729 SILBERAUTO Veho Baltics OU, EE
91.224.188.0/23 #AS197611 LHV-AS AS LHV Pank, EE
185.50.99.0/24 #AS203906 PERH Sihtasutus Pohja-Eesti Regionaalhaigla, EE
94.232.29.0/24 #AS16255 IRIDIUM-AS IridiumProvider OU, EE
185.87.216.0/24 #AS216408 TAVEX Tavid AS, EE
