194.70.88.0/22 #AS1273 CW Vodafone Group PLC, XX
194.70.128.0/18 #AS1273 CW Vodafone Group PLC, XX
194.70.192.0/19 #AS1273 CW Vodafone Group PLC, XX
194.70.240.0/20 #AS1273 CW Vodafone Group PLC, XX
194.112.64.0/18 #AS1273 CW Vodafone Group PLC, XX
194.152.64.0/19 #AS1273 CW Vodafone Group PLC, XX
194.159.0.0/16 #AS1273 CW Vodafone Group PLC, XX
194.177.160.0/19 #AS1273 CW Vodafone Group PLC, XX
194.205.0.0/16 #AS1273 CW Vodafone Group PLC, XX
194.217.0.0/16 #AS1273 CW Vodafone Group PLC, XX
194.221.0.0/16 #AS1273 CW Vodafone Group PLC, XX
194.227.110.0/23 #AS1273 CW Vodafone Group PLC, XX
195.2.0.0/19 #AS1273 CW Vodafone Group PLC, XX
195.10.0.0/18 #AS1273 CW Vodafone Group PLC, XX
195.11.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.27.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.44.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.58.157.0/24 #AS1273 CW Vodafone Group PLC, XX
195.58.158.0/23 #AS1273 CW Vodafone Group PLC, XX
195.59.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.80.64.0/19 #AS1273 CW Vodafone Group PLC, XX
195.89.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.92.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.173.0.0/16 #AS1273 CW Vodafone Group PLC, XX
195.233.0.0/16 #AS1273 CW Vodafone Group PLC, XX
202.89.16.0/21 #AS1273 CW Vodafone Group PLC, XX
203.169.56.0/23 #AS1273 CW Vodafone Group PLC, XX
206.24.128.0/19 #AS1273 CW Vodafone Group PLC, XX
206.225.230.0/24 #AS1273 CW Vodafone Group PLC, XX
207.50.128.0/20 #AS1273 CW Vodafone Group PLC, XX
208.167.192.0/20 #AS1273 CW Vodafone Group PLC, XX
208.173.192.0/18 #AS1273 CW Vodafone Group PLC, XX
208.175.144.0/20 #AS1273 CW Vodafone Group PLC, XX
208.175.224.0/19 #AS1273 CW Vodafone Group PLC, XX
212.62.0.0/19 #AS1273 CW Vodafone Group PLC, XX
212.137.0.0/16 #AS1273 CW Vodafone Group PLC, XX
212.158.0.0/17 #AS1273 CW Vodafone Group PLC, XX
212.165.0.0/19 #AS1273 CW Vodafone Group PLC, XX
212.240.0.0/16 #AS1273 CW Vodafone Group PLC, XX
212.248.192.0/18 #AS1273 CW Vodafone Group PLC, XX
213.38.0.0/16 #AS1273 CW Vodafone Group PLC, XX
213.185.192.0/19 #AS1273 CW Vodafone Group PLC, XX
213.216.128.0/18 #AS1273 CW Vodafone Group PLC, XX
216.31.192.0/20 #AS1273 CW Vodafone Group PLC, XX
216.239.192.0/19 #AS1273 CW Vodafone Group PLC, XX
217.134.0.0/15 #AS1273 CW Vodafone Group PLC, XX
217.161.0.0/16 #AS1273 CW Vodafone Group PLC, XX
143.50.0.0/16 #AS1114 UNIVERSITAET-GRAZ Universitaet Graz, XX
94.247.240.0/21 #AS48532 TELEPORTSPB JSC ER-Telecom Holding, XX
192.166.48.0/24 #AS1271 T-CNF-BBC-IPB Deutsche Telekom Technik GmbH / T-CNF, XX
67.107.201.0/24 #AS27524 AS27524 Unknown AS 27524, XX
