192.175.48.1/32 #AS711 SB-COMM-AS - Torrejon Air Base, ES - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
212.66.168.0/21 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.66.176.0/20 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.163.0.0/16 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
213.9.128.0/17 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
213.170.52.0/24 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
213.192.192.0/18 #AS8903 AS8903 Lyntia Networks. Peering AS., ES
212.80.128.0/19 #AS9075 RECOLETOS Publishing Company, ES
213.9.243.0/24 #AS9094 LYNTIA_MSP_INTERNAL, ES
62.97.128.0/19 #AS9165 PROSODIEIBERICA-AS, ES
212.101.64.0/19 #AS9165 PROSODIEIBERICA-AS, ES
91.126.78.0/24 #AS9192 LLEIDANET Lleida - Catalonia - Spain, ES
149.126.160.0/21 #AS9192 LLEIDANET Lleida - Catalonia - Spain, ES
194.149.72.0/22 #AS9192 LLEIDANET Lleida - Catalonia - Spain, ES
